run_num,model name,num epochs,epoch stop,batch size,learning rate,weight_decay,beta1,beta2,min lr,kernel size,max ch,norm ref,norm lambda,n heads,drop prob,n trans layers,attention type,loss_func,loss,loss_val,dice,loss SD,loss_val SD,dice SD,Avg Error,Avg FA rate,Avg MD rate,run time,eval run time
0,U_Net,120,120,64,0.000221090790038,1.101857369928116e-07,0.8279441788960288,0.9889944039121742,9.48640400991146e-08,11,128,0.01,0,4,0.1,1,Mult,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.0333687923848629,0.0307783987373113,0.9873546361923218,0.0368877738228144,0.0456189628641762,0.0108186395647709,0.0165051711833853,0.0531809145129224,0.0659169980119284,956.5403859615326,81.5054144859314
1,U_Net,120,120,32,8.810797494811489e-05,3.146161971252389e-07,0.7960410940234262,0.9998933615374528,1.8911757686262875e-10,11,128,0.01,0,4,0.1,1,Mult,TverskyLoss(),0.0568312406539917,0.0563453026115894,0.946078896522522,0.0147005410284161,0.0155101829369263,0.0113785297613629,1.0,1.0,1.0,1420.1889460086825,-1.0
2,U_Net,120,120,32,6.678831327015546e-05,0.0052445536698569,0.9845601978235228,0.9997971417944732,7.661536931797036e-11,11,128,0.01,0,4,0.1,1,Mult,"FocalLoss(
  (bce_loss): CrossEntropyLoss()
)",0.0105013847351074,0.010011488571763,0.9593423008918762,0.0165172348730008,0.0136984118315433,0.0138325786936667,0.0171585208424977,0.033175944333996,0.0680914512922465,1360.325921535492,18.707639932632446
3,U_Net,120,120,64,5.597961554524143e-05,0.003488845519785,0.5552899243530709,0.9928010034789534,2.8382691526438447e-09,11,128,0.01,0,4,0.1,1,Mult,IoULoss(),0.2028088122606277,0.2009724080562591,0.9351086616516112,0.0102291273517709,0.0232404828491897,0.0297420351907239,1.0,1.0,1.0,881.7281680107117,-1.0
4,U_Net,120,120,64,0.0059329671644838,5.796478291602792e-05,0.985228640655099,0.9964148434804344,2.554945334125369e-07,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.1752976775169372,0.172730341553688,0.9379895925521852,0.0316516203397237,0.0300646463943352,0.0086613420131478,1.0,1.0,1.0,880.8500912189484,-1.0
5,U_Net,120,120,64,9.875427552878102e-05,7.408621141196452e-05,0.9894680909438364,0.9802626660993414,1.0187871609975169e-07,11,128,0.01,0,4,0.1,1,Mult,TverskyLoss(),0.0723152458667755,0.0720379501581192,0.9276992678642272,0.0174849791826244,0.0224714706616843,0.0455137508551723,1.0,1.0,1.0,906.9504256248474,-1.0
6,U_Net,120,120,64,0.0021393250142406,0.0328678744357738,0.9756805784211368,0.997643798354978,1.601290279989838e-11,11,128,0.01,0,4,0.1,1,Mult,DiceLoss(),0.1896179616451263,0.1883198618888855,0.8666908144950867,0.0094455034012408,0.2412826734161818,0.256970650538468,1.0,1.0,1.0,883.6750361919403,-1.0
7,U_Net,120,120,64,0.0010030405104477,0.0001471644484836,0.9371202165534998,0.9990731389801912,1.3873511566014158e-07,11,128,0.01,0,4,0.1,1,Mult,TverskyLoss(),0.0679809749126434,0.0677038580179214,0.9327215552330016,0.0128781511607725,0.0176140389098056,0.0089601700575914,1.0,1.0,1.0,900.5970106124878,-1.0
8,U_Net,120,120,32,0.0039212287100938,0.0042862111495861,0.9505003521573916,0.9665425376508204,6.767951222246657e-08,11,128,0.01,0,4,0.1,1,Mult,IoULoss(),0.184064969420433,0.1820346266031265,0.8966217041015625,0.0207739217105083,0.2348604761260096,0.2207382695919813,1.0,1.0,1.0,1364.3124573230743,-1.0
9,U_Net,120,120,64,6.058362285090197e-05,3.0153465073027746e-07,0.989404739867023,0.9997536221785516,2.0716981695825727e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.2490516304969787,0.2468176335096359,0.928494155406952,0.0218714081156137,0.0162036242937376,0.0179926548608735,1.0,1.0,1.0,869.172981262207,-1.0
