run_num,dice,Avg Error,Avg FA rate,Avg MD rate
85,0.955418229,0.018926453,0.030442346,0.087102386
108,0.950165987,0.014838132,0.036344433,0.063742545
354,0.991681755,0.016989114,0.053429423,0.064115308
39,0.985604167,0.01634732,0.045352883,0.067159543
338,0.984804928,0.017375629,0.053367296,0.05889662
366,0.986761868,0.017032008,0.042619284,0.061071074
74,0.978762031,0.014855668,0.036530815,0.059145129
340,0.991817296,0.018584653,0.043923956,0.066041252
221,0.989560604,0.017131345,0.044607356,0.064425944
18,0.973608971,0.01790356,0.034480616,0.070887177
170,0.986414909,0.017013315,0.048521372,0.064860835
81,0.989296556,0.017523834,0.044855865,0.067345924
371,0.989157557,0.018075705,0.05374006,0.067780815
17,0.982299328,0.016534072,0.042122266,0.057405567
87,0.980584264,0.018882932,0.03820825,0.068588469
205,0.989466667,0.017114174,0.048645626,0.064674453
29,0.985541344,0.018370012,0.050944334,0.0625
141,0.988323033,0.01875815,0.046719682,0.063991054
356,0.978102386,0.017371633,0.041003976,0.055106859
48,0.987964034,0.018209539,0.049639662,0.064612326
262,0.988846004,0.017571884,0.05305666,0.065916998
71,0.985802293,0.018023013,0.044855865,0.060574056
210,0.974129081,0.019041814,0.040196322,0.068961233
112,0.985850632,0.017116862,0.052932406,0.068029324
385,0.982920647,0.017975732,0.048645626,0.063680417
191,0.964904845,0.018405853,0.033300199,0.077534791
324,0.952600658,0.017889472,0.031001491,0.08207008
266,0.963302553,0.017767276,0.041563121,0.07306163
22,0.99030602,0.018813337,0.05013668,0.064488072
268,0.980529964,0.019351379,0.047030318,0.068215706
285,0.980226994,0.017535535,0.051627734,0.0625
139,0.972566485,0.017236064,0.048210736,0.073248012
149,0.987024307,0.018461681,0.05013668,0.070203777
62,0.987479508,0.017158774,0.043861829,0.064674453
293,0.952860713,0.017485416,0.034356362,0.079150099
28,0.982202888,0.018893363,0.045352883,0.065792744
135,0.955042601,0.018762901,0.033424453,0.080144135
67,0.985009789,0.016739863,0.051689861,0.060946819
307,0.981154561,0.018722425,0.049950298,0.067283797
148,0.97445339,0.019659018,0.047154573,0.072253976
283,0.974035621,0.01858386,0.046160537,0.069831014
168,0.96337831,0.019011534,0.034666998,0.076478628
167,0.951107085,0.01419956,0.01957008,0.079833499
165,0.983245254,0.017958867,0.048769881,0.067718688
3,0.974384308,0.017943358,0.042992048,0.070514414
70,0.983098626,0.015839211,0.052808151,0.069582505
333,0.973502159,0.018684492,0.053926441,0.070700795
