ï»¿run_num,dice,Avg Error,Avg FA rate,Avg MD rate,dice Position,Avg Error Position,Avg FA rate Position,Avg MD rate Position,sum positions
74,0.978762031,0.014855668,0.036530815,0.059145129,47,5,16,30,98
193,0.9848544,0.015883706,0.041128231,0.057902584,30,23,36,18,107
131,0.981928229,0.015744066,0.040631213,0.058337475,38,18,33,25,114
360,0.975531757,0.015816359,0.038643141,0.057591948,55,21,25,16,117
300,0.983891964,0.016128621,0.045477137,0.056411531,33,28,54,6,121
245,0.963213146,0.015910831,0.038270378,0.05709493,64,24,22,12,122
387,0.958757162,0.016377562,0.036779324,0.05485835,70,34,18,1,123
318,0.982888341,0.016716459,0.039823559,0.057467694,34,43,31,15,123
17,0.982299328,0.016534072,0.042122266,0.057405567,36,38,38,13,125
54,0.975698829,0.017018051,0.036344433,0.057032803,54,50,12,10,126
239,0.963419259,0.015728423,0.037276342,0.058710239,63,17,19,28,127
25,0.981339574,0.016473698,0.03889165,0.058585984,40,37,26,26,129
321,0.971371055,0.01632622,0.039388668,0.056784294,60,33,28,9,130
64,0.962587953,0.014657547,0.042122266,0.058151093,66,3,39,22,130
355,0.962685883,0.015219176,0.033113817,0.062748509,65,10,9,48,132
117,0.954964757,0.015108957,0.031436382,0.061195328,71,9,8,44,132
278,0.953631401,0.015623713,0.030690855,0.060387674,72,16,6,38,132
242,0.966801286,0.014087889,0.042060139,0.060014911,61,1,37,35,134
78,0.976418495,0.016789143,0.036530815,0.058213221,52,45,17,23,137
66,0.986565888,0.015769691,0.044172465,0.062934891,22,19,48,49,138
309,0.989081144,0.01605459,0.047837972,0.060077038,13,25,65,36,139
231,0.959969044,0.016168127,0.03777336,0.058275348,67,29,20,24,140
367,0.987434924,0.016108699,0.047278827,0.059766402,18,27,61,34,140
237,0.990321517,0.017820322,0.043054175,0.058088966,9,68,43,21,141
171,0.980013728,0.015053855,0.044234592,0.060636183,46,7,49,39,141
43,0.97678405,0.016882727,0.038456759,0.057964712,51,47,24,20,142
229,0.97182107,0.015774888,0.044980119,0.05709493,59,20,52,11,142
95,0.985803723,0.017114046,0.045539264,0.056597913,25,54,55,8,142
181,0.977259159,0.017016688,0.03889165,0.057716203,50,49,27,17,143
220,0.991642118,0.01732695,0.040444831,0.061568091,3,62,32,46,143
361,0.986750841,0.015835699,0.04945328,0.059642147,21,22,70,32,145
108,0.950165987,0.014838132,0.036344433,0.063742545,76,4,14,52,146
247,0.990962803,0.016234202,0.044607356,0.065979125,5,30,50,62,147
33,0.959239721,0.016264043,0.043302684,0.055479622,68,31,44,4,147
305,0.985248804,0.016320916,0.049701789,0.057902584,27,32,71,19,149
356,0.978102386,0.017371633,0.041003976,0.055106859,49,63,35,2,149
160,0.973915279,0.015066482,0.046906064,0.059020875,57,8,58,29,152
167,0.951107085,0.01419956,0.01957008,0.079833499,74,2,1,75,152
269,0.990398288,0.015589061,0.048459245,0.06610338,8,14,66,64,152
52,0.982418299,0.015581975,0.051317097,0.059517893,35,13,73,31,152
224,0.989682198,0.016619769,0.045849901,0.061257455,11,39,57,45,152
164,0.981663108,0.016849752,0.047527336,0.055728131,39,46,63,5,153
44,0.986320019,0.016402023,0.043675447,0.0631834,23,36,45,50,154
366,0.986761868,0.017032008,0.042619284,0.061071074,20,52,40,43,155
24,0.987125218,0.015513791,0.048956262,0.064860835,19,11,69,57,156
363,0.987600088,0.017314017,0.042805666,0.060201292,16,61,42,37,156
275,0.950716376,0.015003159,0.025720676,0.076851392,75,6,2,73,156
380,0.981322885,0.016096655,0.039388668,0.065233598,42,26,29,60,157
86,0.974897504,0.016386763,0.045290755,0.057405567,56,35,53,14,158
